,Event,Overall,2007 SAE Baja UCF,,,,,,,,,,,,
,,Overall,1000,,,,,,,,,,,,
,,Data entered by:,JS/RP,,,,,,,,,,,,
,,Reviewed by:,RP/JS,,,,,,,,,,,,
,,Verified by:,,,,,,,,,,,,,
,,Posted by:,,,,,,,,,,,,,
,,Protest period:,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rank,Car,School,Team,Overall Score,Design,Cost,Accel,Mud Bog,S & T,Water,Sled Pull,Endurance,"Technical 
Inspection",Penalties,
39,19,University of Alabama-Birmingham,Blazer Motorsports,413.55,108.00,71.61,49.50,42.46,47.53,0.00,22.50,86.96,-15.00,,
40,26,Michigan Tech Univ,Blizzard Baja Black,408.69,165.00,70.45,58.09,0.00,58.90,0.00,38.86,17.39,0.00,,
41,62,Corning Community College,Red Barrons #1,405.35,110.00,74.34,46.38,21.54,45.91,12.40,60.00,34.78,0.00,,
42,37,Univ of Central Florida,Knights Racing I,402.49,107.00,0.00,50.45,21.97,56.43,37.27,25.23,139.13,-35.00,,
43,16,Univ of North Carolina - Charlotte,49er Racing,381.23,147.00,16.86,49.96,20.49,55.17,41.74,40.23,34.78,-25.00,,
44,42,Clemson Univ,Clemson Tigers,357.49,138.00,1.00,54.75,17.77,0.00,35.79,40.62,69.57,0.00,,
45,24,University of Alabama-Tuscaloosa,Crimson GRITS,330.28,99.00,55.53,50.93,18.09,0.00,0.00,0.00,121.74,-15.00,,
46,53,Middle Tennessee State Univ,Blue Raider Baja,300.83,98.00,52.44,32.03,0.00,44.48,0.00,29.32,69.57,-25.00,,
47,11,US Air Force Academy,USAF,279.60,141.00,1.00,31.80,15.70,52.93,0.00,0.00,52.17,-15.00,,
48,12,Embry-Riddle Aero Univ - Daytona Beach,Embry Riddle Lady Eagles,274.55,145.00,25.01,49.98,0.00,0.00,0.00,0.00,69.57,-15.00,,
49,15,Virginia Military Inst,The Runnin Roos,259.81,89.00,0.00,20.80,17.07,0.00,0.00,26.20,121.74,-15.00,,
50,72,Florida International Univ,Golden Panther Racing,230.06,78.00,0.00,55.72,0.00,49.75,0.00,29.42,52.17,-35.00,,
51,33,Lipscomb Univ,Lipscomb University,179.00,124.00,33.06,0.00,0.00,0.00,36.94,0.00,0.00,-15.00,,
52,54,University of Arkansas at fort smith,The Lions,158.96,81.00,6.00,0.00,0.00,0.00,0.00,0.00,86.96,-15.00,,
53,56,US Military Academy,Army Baja 2007,154.72,62.00,38.23,0.00,0.00,54.50,0.00,0.00,0.00,0.00,,
54,17,Louisiana Tech Univ,Team Hydratraxx,119.68,140.00,0.00,0.00,0.00,0.00,0.00,4.68,0.00,-25.00,,
55,45,Georgia Southern Univ,Eagle Motorsports,106.47,39.00,22.91,0.00,0.00,0.00,0.00,0.00,69.57,-25.00,,
56,58,University of Louisville,Speed Motorsports Team 1,67.00,56.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
57,52,Kettering Univ,Bulldog Racing,33.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
58,68,Moscow Auto & Hwy Engrg Inst,FRAMBIT MADI,31.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
59,57,University of Texas-El Paso,Mad Pete Motorsports,19.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-50.00,,
60,51,Tulane University,Tulane University,18.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
61,71,Ecole National D'Aerotechnique,ENA POWER,15.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
62,41,University of Tulsa,HMW Racing,12.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
63,31,Syracuse Univ,Orange Offroad Racing,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
